code,name
biol139,Genetics
biol140,Fundamentals of Microbiology
biol140l,Microbiology Laboratory
biol150,Organismal and Evolutionary Ecology
biol165,Diversity of Life
biol201,Human Anatomy
biol208,Analytical Methods in Molecular Biology
biol211,Introductory Vertebrate Zoology
biol220,Introduction to Plant Structure and Function
biol221,"Introductory Survey of Fungi, Algae and Plants"
biol225,Plants and Civilization
biol231,Cell Biology
biol235,Foundations of Molecular Biology
biol239,Genetics
biol240,Fundamentals of Microbiology
biol240l,Microbiology Laboratory
biol241,Introduction to Applied Microbiology
biol250,Organismal and Evolutionary Ecology
biol251,Fundamentals of Ecology
biol265,Diversity of Life
biol266,Introduction to Computational Biology
biol273,Principles of Human Physiology 1
biol273l,Human Physiology 1 Laboratory
biol280,Introduction to Biophysics
biol301,Human Anatomy
biol302,Functional Histology
biol303,Introductory Developmental Biology and Embryology
biol308,Principles of Molecular Biology
biol309,Analytical Methods in Molecular Biology
biol310,Invertebrate Zoology
biol312,The Natural History of Aquatic Organisms
biol321,Plant Anatomy and Morphogenesis
biol323,Plant Physiology
biol325,Flowering Plants
biol330,Molecular Biology
biol331,Advanced Cell Biology
biol335l,Molecular Biology Techniques
biol341,Fundamentals of Immunology
biol342,Molecular Biotechnology 1
biol345,Microorganisms in Foods
biol346,Microbial Ecology and Diversity
biol348l,Laboratory Methods in Microbiology
biol349,Synthetic Biology Project Design
biol350,Ecosystem Ecology
biol351,Aquatic Ecology
biol352,Populations and Communities
biol354,Environmental Toxicology
biol355,Biology of Human Aging
biol358,Quantitative Ecology
biol359,Evolution 1: Mechanisms
biol360,Evolution 2: Fossil Record
biol361,Biostatistics and Experimental Design
biol364,Mathematical Modelling in Biology
biol365,Methods in Bioinformatics
biol366,Introduction to Bioinformatics
biol370,Comparative Animal Physiology: Environmental Aspects
biol371,Comparative Animal Physiology: Evolutionary Themes
biol373,Principles of Human Physiology 2
biol373l,Human Physiology Laboratory
biol374l,Techniques in Animal Physiology
biol376,Cellular Neurophysiology
biol377,Systems Neuroscience: From Neurons to Behaviour
biol382,Computational Modelling of Cellular Systems
biol383,Tropical Ecosystems
biol403,Developmental Biology and Embryology
biol412,Arthropod Zoology
biol414,Parasitology
biol426,Phycology
